Persona Name,Age,Income Source,Annual Income Range,Family Size,Relationship Status,Key Financial Goals,Lifestyle Factors
Ankit,33,Retired,$30k-$50k,1,Single,Tax Saving,Lives in joint family
Priya,56,Self-Employed,$75k-$100k,5,Widowed,Wealth Creation,"Health-conscious, gym member"
Mr. Dutta,44,Retired,$15k-$30k,5,Married w/ Kids,Wealth Creation,Lives in joint family
Arjun,55,Business Owner,$15k-$30k,4,Widowed,Tax Saving,Prefers homeopathic treatment
Priya,28,Salaried,$100k+,1,Widowed,Health Coverage,"Owns a car, travels frequently"
Ankit,35,Salaried,$30k-$50k,1,Single,Health Coverage,"Health-conscious, gym member"
Arjun,27,Retired,$75k-$100k,4,Married w/ Spouse,Tax Saving,"Owns property, no liabilities"
Priya,58,Business Owner,$30k-$50k,5,Widowed,Tax Saving,"Owns property, no liabilities"
Amit,22,Business Owner,$75k-$100k,3,Single,Child Education Fund,"Smoker, high stress job"
Amit,40,Business Owner,$15k-$30k,4,Divorced,Retirement Savings,"Health-conscious, gym member"
Ankit,47,Business Owner,$15k-$30k,3,Widowed,Child Education Fund,"Pet owner, active lifestyle"
Riya,53,Business Owner,$50k-$75k,2,Single,Wealth Creation,"Sedentary lifestyle, chronic illness"
Sunita,29,Business Owner,$30k-$50k,1,Married w/ Spouse,Health Coverage,"Frequent flyer, international travel"
Mrs. Iyer,39,Salaried,$50k-$75k,3,Divorced,Tax Saving,Works night shifts
Mr. Dutta,30,Self-Employed,$75k-$100k,1,Single,Child Education Fund,"Smoker, high stress job"
Sneha,38,Business Owner,$100k+,5,Married w/ Kids,Health Coverage,"Sedentary lifestyle, chronic illness"
Arjun,23,Business Owner,$30k-$50k,4,Married w/ Spouse,Health Coverage,"Pet owner, active lifestyle"
Priya,56,Retired,$15k-$30k,3,Married w/ Spouse,Health Coverage,"Owns a car, travels frequently"
Arjun,41,Self-Employed,$100k+,2,Married w/ Spouse,Child Education Fund,Prefers homeopathic treatment
Arjun,32,Salaried,$30k-$50k,2,Married w/ Spouse,Retirement Savings,Works night shifts
Mrs. Iyer,22,Salaried,$15k-$30k,2,Divorced,Health Coverage,"Owns property, no liabilities"
Riya,23,Retired,$75k-$100k,2,Married w/ Kids,Retirement Savings,"Owns property, no liabilities"
Mr. Dutta,59,Self-Employed,$50k-$75k,5,Divorced,Wealth Creation,"Health-conscious, gym member"
Arjun,23,Business Owner,$50k-$75k,5,Single,Wealth Creation,"Sedentary lifestyle, chronic illness"
Priya,40,Salaried,$50k-$75k,1,Married w/ Spouse,Retirement Savings,Works night shifts
Mr. Dutta,27,Business Owner,$100k+,3,Widowed,Retirement Savings,"Sedentary lifestyle, chronic illness"
Ankit,40,Self-Employed,$50k-$75k,3,Divorced,Child Education Fund,"Frequent flyer, international travel"
Ankit,46,Self-Employed,$100k+,2,Married w/ Spouse,Retirement Savings,Prefers homeopathic treatment
Amit,48,Business Owner,$50k-$75k,3,Single,Retirement Savings,"Sedentary lifestyle, chronic illness"
Mrs. Iyer,28,Retired,$30k-$50k,4,Married w/ Kids,Retirement Savings,"Smoker, high stress job"
Arjun,22,Self-Employed,$50k-$75k,2,Married w/ Spouse,Wealth Creation,Works night shifts
Mr. Dutta,58,Retired,$50k-$75k,4,Divorced,Retirement Savings,"Sedentary lifestyle, chronic illness"
Sunita,30,Retired,$100k+,3,Married w/ Kids,Retirement Savings,"Smoker, high stress job"
Rahul,47,Business Owner,$50k-$75k,5,Single,Child Education Fund,Works night shifts
Sunita,56,Retired,$75k-$100k,4,Married w/ Spouse,Retirement Savings,"Pet owner, active lifestyle"
Sneha,35,Self-Employed,$30k-$50k,2,Married w/ Kids,Wealth Creation,"Health-conscious, gym member"
Sneha,43,Business Owner,$15k-$30k,5,Married w/ Kids,Tax Saving,"Smoker, high stress job"
Amit,35,Salaried,$75k-$100k,1,Married w/ Kids,Retirement Savings,Lives in joint family
Sneha,28,Salaried,$15k-$30k,1,Divorced,Health Coverage,"Owns a car, travels frequently"
Mrs. Iyer,56,Retired,$30k-$50k,1,Single,Tax Saving,Works night shifts
Arjun,47,Retired,$100k+,5,Married w/ Kids,Child Education Fund,Works night shifts
Amit,28,Salaried,$30k-$50k,2,Widowed,Wealth Creation,"Owns a car, travels frequently"
Mr. Dutta,39,Salaried,$75k-$100k,4,Married w/ Kids,Retirement Savings,Lives in joint family
Rahul,26,Retired,$75k-$100k,4,Married w/ Spouse,Child Education Fund,"Owns property, no liabilities"
Ankit,44,Salaried,$15k-$30k,4,Married w/ Spouse,Wealth Creation,Lives in joint family
Amit,45,Salaried,$50k-$75k,4,Married w/ Kids,Health Coverage,"Smoker, high stress job"
Mrs. Iyer,48,Retired,$75k-$100k,4,Married w/ Kids,Health Coverage,"Owns property, no liabilities"
Riya,29,Salaried,$100k+,4,Married w/ Spouse,Retirement Savings,"Owns a car, travels frequently"
Riya,61,Self-Employed,$100k+,4,Single,Retirement Savings,Lives in joint family
Rahul,31,Retired,$15k-$30k,2,Divorced,Child Education Fund,"Pet owner, active lifestyle"
Amit,55,Business Owner,$15k-$30k,3,Divorced,Health Coverage,"Health-conscious, gym member"
Sunita,33,Salaried,$30k-$50k,4,Widowed,Wealth Creation,Prefers homeopathic treatment
Amit,25,Business Owner,$100k+,5,Single,Child Education Fund,Works night shifts
Ankit,47,Self-Employed,$15k-$30k,4,Married w/ Kids,Wealth Creation,"Frequent flyer, international travel"
Ankit,28,Business Owner,$75k-$100k,2,Widowed,Wealth Creation,"Owns a car, travels frequently"
Amit,37,Retired,$15k-$30k,3,Divorced,Tax Saving,"Owns property, no liabilities"
Sneha,29,Retired,$15k-$30k,1,Widowed,Wealth Creation,"Owns a car, travels frequently"
Ankit,28,Retired,$50k-$75k,1,Widowed,Child Education Fund,"Owns a car, travels frequently"
Mrs. Iyer,23,Business Owner,$50k-$75k,3,Divorced,Tax Saving,"Pet owner, active lifestyle"
Ankit,49,Self-Employed,$100k+,2,Married w/ Spouse,Health Coverage,Works night shifts
Ankit,54,Self-Employed,$100k+,1,Widowed,Wealth Creation,"Sedentary lifestyle, chronic illness"
Mr. Dutta,63,Salaried,$75k-$100k,4,Married w/ Kids,Child Education Fund,"Sedentary lifestyle, chronic illness"
Mr. Dutta,64,Salaried,$50k-$75k,1,Widowed,Retirement Savings,"Pet owner, active lifestyle"
Amit,30,Salaried,$75k-$100k,5,Married w/ Kids,Health Coverage,"Health-conscious, gym member"
Arjun,44,Self-Employed,$75k-$100k,5,Divorced,Health Coverage,"Sedentary lifestyle, chronic illness"
Mr. Dutta,60,Self-Employed,$75k-$100k,3,Married w/ Kids,Health Coverage,"Owns property, no liabilities"
Sneha,37,Salaried,$50k-$75k,5,Married w/ Spouse,Child Education Fund,Prefers homeopathic treatment
Priya,61,Retired,$50k-$75k,5,Single,Wealth Creation,Works night shifts
Sunita,25,Retired,$75k-$100k,1,Married w/ Kids,Wealth Creation,Lives in joint family
Rahul,39,Retired,$50k-$75k,5,Single,Tax Saving,"Pet owner, active lifestyle"
Arjun,30,Salaried,$50k-$75k,1,Widowed,Wealth Creation,Lives in joint family
Sneha,25,Self-Employed,$15k-$30k,3,Divorced,Child Education Fund,"Health-conscious, gym member"
Sneha,44,Retired,$75k-$100k,5,Married w/ Kids,Wealth Creation,"Owns a car, travels frequently"
Priya,50,Retired,$50k-$75k,4,Single,Child Education Fund,"Owns property, no liabilities"
Rahul,23,Business Owner,$75k-$100k,1,Married w/ Spouse,Retirement Savings,"Owns a car, travels frequently"
Sneha,49,Self-Employed,$15k-$30k,2,Single,Child Education Fund,"Sedentary lifestyle, chronic illness"
Sunita,27,Retired,$30k-$50k,4,Single,Tax Saving,Lives in joint family
Mr. Dutta,32,Retired,$100k+,1,Married w/ Spouse,Child Education Fund,"Owns a car, travels frequently"
Priya,43,Business Owner,$50k-$75k,3,Widowed,Child Education Fund,"Pet owner, active lifestyle"
Sneha,55,Business Owner,$30k-$50k,4,Married w/ Spouse,Child Education Fund,"Owns property, no liabilities"
Mrs. Iyer,29,Business Owner,$15k-$30k,2,Widowed,Retirement Savings,"Health-conscious, gym member"
Sunita,46,Self-Employed,$75k-$100k,1,Married w/ Kids,Health Coverage,"Owns a car, travels frequently"
Sunita,27,Self-Employed,$15k-$30k,5,Divorced,Health Coverage,Works night shifts
Mrs. Iyer,39,Business Owner,$100k+,3,Married w/ Kids,Tax Saving,Lives in joint family
Mrs. Iyer,31,Salaried,$15k-$30k,5,Divorced,Wealth Creation,Works night shifts
Priya,35,Business Owner,$30k-$50k,3,Divorced,Health Coverage,"Pet owner, active lifestyle"
Sneha,52,Salaried,$15k-$30k,5,Married w/ Spouse,Retirement Savings,"Health-conscious, gym member"
Amit,61,Salaried,$30k-$50k,2,Married w/ Spouse,Retirement Savings,"Pet owner, active lifestyle"
Mr. Dutta,38,Salaried,$30k-$50k,2,Married w/ Spouse,Tax Saving,Works night shifts
Priya,24,Retired,$75k-$100k,5,Widowed,Health Coverage,"Health-conscious, gym member"
Rahul,29,Business Owner,$50k-$75k,3,Widowed,Child Education Fund,"Frequent flyer, international travel"
Amit,62,Salaried,$15k-$30k,1,Married w/ Kids,Tax Saving,Lives in joint family
Amit,49,Retired,$30k-$50k,1,Single,Wealth Creation,"Owns property, no liabilities"
Amit,47,Self-Employed,$15k-$30k,3,Widowed,Child Education Fund,"Health-conscious, gym member"
Priya,22,Retired,$30k-$50k,2,Divorced,Wealth Creation,Works night shifts
Amit,54,Retired,$30k-$50k,4,Divorced,Child Education Fund,"Health-conscious, gym member"
Mr. Dutta,30,Self-Employed,$50k-$75k,5,Married w/ Spouse,Tax Saving,Prefers homeopathic treatment
Mrs. Iyer,60,Business Owner,$50k-$75k,4,Widowed,Tax Saving,"Owns property, no liabilities"
Mrs. Iyer,63,Self-Employed,$50k-$75k,4,Single,Health Coverage,"Owns a car, travels frequently"
Ankit,32,Retired,$15k-$30k,5,Widowed,Wealth Creation,Works night shifts
Arjun,63,Salaried,$75k-$100k,4,Divorced,Health Coverage,"Smoker, high stress job"
Rahul,49,Retired,$50k-$75k,4,Married w/ Spouse,Wealth Creation,Lives in joint family
Sneha,62,Business Owner,$30k-$50k,4,Single,Health Coverage,Lives in joint family
Riya,63,Business Owner,$15k-$30k,2,Married w/ Spouse,Child Education Fund,"Owns property, no liabilities"
Arjun,55,Retired,$100k+,4,Married w/ Spouse,Health Coverage,"Health-conscious, gym member"
Riya,31,Self-Employed,$100k+,3,Married w/ Spouse,Child Education Fund,Lives in joint family
Mr. Dutta,33,Business Owner,$15k-$30k,1,Single,Health Coverage,"Owns property, no liabilities"
Mr. Dutta,22,Salaried,$50k-$75k,4,Married w/ Spouse,Wealth Creation,"Smoker, high stress job"
Arjun,46,Retired,$75k-$100k,5,Married w/ Spouse,Retirement Savings,"Health-conscious, gym member"
Amit,50,Self-Employed,$30k-$50k,2,Widowed,Retirement Savings,"Health-conscious, gym member"
Ankit,63,Retired,$15k-$30k,2,Married w/ Spouse,Child Education Fund,"Frequent flyer, international travel"
Riya,60,Business Owner,$15k-$30k,3,Married w/ Spouse,Child Education Fund,"Pet owner, active lifestyle"
Sneha,54,Salaried,$100k+,4,Married w/ Kids,Tax Saving,"Frequent flyer, international travel"
Arjun,54,Salaried,$50k-$75k,3,Single,Child Education Fund,Works night shifts
Ankit,51,Salaried,$30k-$50k,3,Married w/ Kids,Wealth Creation,"Owns property, no liabilities"
Sunita,22,Salaried,$75k-$100k,2,Widowed,Retirement Savings,"Smoker, high stress job"
Riya,52,Self-Employed,$50k-$75k,4,Widowed,Retirement Savings,"Sedentary lifestyle, chronic illness"
Sunita,42,Retired,$15k-$30k,4,Married w/ Kids,Tax Saving,Lives in joint family
Sunita,28,Business Owner,$75k-$100k,2,Widowed,Health Coverage,"Smoker, high stress job"
Sneha,37,Retired,$15k-$30k,1,Widowed,Health Coverage,Prefers homeopathic treatment
Priya,57,Self-Employed,$50k-$75k,5,Widowed,Wealth Creation,"Owns property, no liabilities"
Sneha,45,Business Owner,$15k-$30k,3,Divorced,Wealth Creation,"Pet owner, active lifestyle"
Arjun,50,Retired,$30k-$50k,2,Single,Child Education Fund,Lives in joint family
Mr. Dutta,37,Retired,$15k-$30k,4,Single,Health Coverage,"Frequent flyer, international travel"
Sunita,32,Retired,$15k-$30k,5,Single,Child Education Fund,Prefers homeopathic treatment
Sunita,29,Business Owner,$15k-$30k,1,Widowed,Tax Saving,"Health-conscious, gym member"
Ankit,43,Business Owner,$75k-$100k,2,Married w/ Kids,Wealth Creation,Lives in joint family
Sunita,38,Salaried,$30k-$50k,2,Single,Child Education Fund,"Pet owner, active lifestyle"
Amit,49,Retired,$15k-$30k,2,Married w/ Spouse,Health Coverage,"Sedentary lifestyle, chronic illness"
Amit,57,Salaried,$30k-$50k,2,Married w/ Kids,Wealth Creation,Works night shifts
Priya,39,Retired,$75k-$100k,1,Single,Retirement Savings,"Owns a car, travels frequently"
Mrs. Iyer,61,Salaried,$15k-$30k,5,Married w/ Spouse,Retirement Savings,"Smoker, high stress job"
Rahul,35,Business Owner,$100k+,2,Widowed,Health Coverage,Prefers homeopathic treatment
Amit,52,Self-Employed,$15k-$30k,2,Divorced,Tax Saving,"Owns property, no liabilities"
Priya,42,Salaried,$30k-$50k,1,Widowed,Child Education Fund,Works night shifts
Priya,59,Retired,$100k+,2,Married w/ Kids,Health Coverage,"Smoker, high stress job"
Sunita,42,Salaried,$50k-$75k,3,Widowed,Tax Saving,"Owns property, no liabilities"
Sneha,44,Self-Employed,$75k-$100k,5,Married w/ Spouse,Wealth Creation,"Owns a car, travels frequently"
Priya,39,Business Owner,$50k-$75k,3,Divorced,Health Coverage,Works night shifts
Mr. Dutta,26,Retired,$50k-$75k,3,Divorced,Wealth Creation,"Owns a car, travels frequently"
Amit,36,Salaried,$75k-$100k,1,Married w/ Kids,Child Education Fund,Works night shifts
Ankit,27,Business Owner,$50k-$75k,4,Divorced,Health Coverage,"Sedentary lifestyle, chronic illness"
Arjun,22,Business Owner,$100k+,5,Divorced,Child Education Fund,"Owns a car, travels frequently"
Amit,22,Salaried,$30k-$50k,4,Married w/ Spouse,Child Education Fund,"Sedentary lifestyle, chronic illness"
Riya,54,Business Owner,$50k-$75k,5,Widowed,Health Coverage,"Pet owner, active lifestyle"
Amit,62,Self-Employed,$100k+,2,Single,Health Coverage,"Owns property, no liabilities"
Rahul,59,Retired,$75k-$100k,3,Divorced,Retirement Savings,"Health-conscious, gym member"
Rahul,44,Business Owner,$30k-$50k,1,Divorced,Wealth Creation,"Sedentary lifestyle, chronic illness"
Riya,35,Self-Employed,$75k-$100k,3,Widowed,Child Education Fund,Prefers homeopathic treatment
Riya,51,Salaried,$30k-$50k,4,Single,Tax Saving,"Health-conscious, gym member"
Ankit,33,Business Owner,$100k+,1,Single,Health Coverage,"Smoker, high stress job"
Sunita,46,Business Owner,$30k-$50k,3,Married w/ Kids,Wealth Creation,"Health-conscious, gym member"
Mr. Dutta,22,Retired,$30k-$50k,5,Widowed,Wealth Creation,"Frequent flyer, international travel"
Mrs. Iyer,23,Retired,$15k-$30k,3,Married w/ Kids,Tax Saving,"Health-conscious, gym member"
Rahul,53,Retired,$30k-$50k,1,Single,Health Coverage,"Sedentary lifestyle, chronic illness"
Ankit,63,Retired,$30k-$50k,4,Widowed,Tax Saving,"Frequent flyer, international travel"
Sneha,61,Self-Employed,$15k-$30k,1,Widowed,Child Education Fund,"Smoker, high stress job"
Rahul,30,Business Owner,$100k+,5,Married w/ Kids,Child Education Fund,"Owns property, no liabilities"
Mrs. Iyer,27,Retired,$30k-$50k,3,Single,Wealth Creation,Prefers homeopathic treatment
Ankit,45,Self-Employed,$75k-$100k,3,Married w/ Kids,Retirement Savings,"Sedentary lifestyle, chronic illness"
Rahul,30,Retired,$100k+,1,Single,Health Coverage,"Health-conscious, gym member"
Ankit,29,Salaried,$100k+,1,Widowed,Health Coverage,"Frequent flyer, international travel"
Mr. Dutta,38,Salaried,$30k-$50k,1,Divorced,Child Education Fund,"Health-conscious, gym member"
Arjun,48,Self-Employed,$30k-$50k,5,Single,Retirement Savings,Works night shifts
Amit,60,Self-Employed,$75k-$100k,4,Married w/ Kids,Child Education Fund,"Owns a car, travels frequently"
Sneha,57,Salaried,$30k-$50k,3,Single,Wealth Creation,"Frequent flyer, international travel"
Arjun,45,Salaried,$50k-$75k,5,Single,Tax Saving,"Smoker, high stress job"
Arjun,34,Retired,$100k+,3,Divorced,Health Coverage,"Owns property, no liabilities"
Sneha,64,Salaried,$30k-$50k,3,Married w/ Kids,Health Coverage,Prefers homeopathic treatment
Mrs. Iyer,54,Business Owner,$100k+,3,Divorced,Health Coverage,Works night shifts
Riya,53,Self-Employed,$100k+,4,Divorced,Tax Saving,"Smoker, high stress job"
Ankit,46,Retired,$30k-$50k,2,Married w/ Kids,Retirement Savings,"Owns property, no liabilities"
Amit,28,Salaried,$50k-$75k,5,Married w/ Spouse,Health Coverage,"Pet owner, active lifestyle"
Mr. Dutta,42,Salaried,$100k+,4,Divorced,Health Coverage,"Health-conscious, gym member"
Arjun,34,Self-Employed,$100k+,4,Single,Wealth Creation,"Sedentary lifestyle, chronic illness"
Priya,44,Self-Employed,$15k-$30k,1,Single,Wealth Creation,"Sedentary lifestyle, chronic illness"
Mr. Dutta,28,Self-Employed,$15k-$30k,2,Single,Wealth Creation,Lives in joint family
Riya,45,Self-Employed,$100k+,2,Married w/ Kids,Wealth Creation,"Owns a car, travels frequently"
Rahul,36,Salaried,$50k-$75k,2,Married w/ Spouse,Child Education Fund,"Frequent flyer, international travel"
Mr. Dutta,61,Self-Employed,$50k-$75k,4,Married w/ Kids,Tax Saving,"Sedentary lifestyle, chronic illness"
Ankit,53,Salaried,$15k-$30k,2,Widowed,Health Coverage,"Pet owner, active lifestyle"
Amit,47,Business Owner,$75k-$100k,2,Widowed,Health Coverage,Works night shifts
Arjun,50,Self-Employed,$75k-$100k,4,Single,Tax Saving,"Health-conscious, gym member"
Priya,57,Self-Employed,$50k-$75k,5,Widowed,Wealth Creation,Prefers homeopathic treatment
Ankit,41,Self-Employed,$30k-$50k,5,Divorced,Retirement Savings,"Health-conscious, gym member"
Sunita,30,Business Owner,$100k+,4,Married w/ Spouse,Retirement Savings,"Pet owner, active lifestyle"
Rahul,25,Salaried,$30k-$50k,1,Married w/ Spouse,Health Coverage,"Owns a car, travels frequently"
Arjun,63,Retired,$75k-$100k,5,Divorced,Retirement Savings,"Sedentary lifestyle, chronic illness"
Mr. Dutta,30,Salaried,$15k-$30k,2,Married w/ Kids,Tax Saving,Lives in joint family
Riya,35,Self-Employed,$100k+,2,Widowed,Tax Saving,Prefers homeopathic treatment
Riya,56,Business Owner,$15k-$30k,2,Widowed,Child Education Fund,Works night shifts
Priya,64,Self-Employed,$50k-$75k,4,Married w/ Kids,Child Education Fund,"Owns a car, travels frequently"
Sneha,43,Salaried,$15k-$30k,2,Single,Retirement Savings,"Health-conscious, gym member"
Amit,50,Business Owner,$100k+,4,Married w/ Kids,Wealth Creation,"Owns a car, travels frequently"
Sneha,51,Business Owner,$30k-$50k,4,Single,Tax Saving,"Frequent flyer, international travel"
Arjun,42,Business Owner,$75k-$100k,1,Married w/ Spouse,Tax Saving,"Owns property, no liabilities"
Mrs. Iyer,50,Retired,$50k-$75k,4,Married w/ Spouse,Retirement Savings,Prefers homeopathic treatment
Sneha,39,Self-Employed,$30k-$50k,1,Married w/ Spouse,Retirement Savings,Prefers homeopathic treatment
Mrs. Iyer,57,Self-Employed,$50k-$75k,3,Married w/ Spouse,Retirement Savings,Works night shifts
Mr. Dutta,54,Salaried,$75k-$100k,2,Single,Child Education Fund,"Sedentary lifestyle, chronic illness"
Mr. Dutta,34,Salaried,$50k-$75k,4,Single,Child Education Fund,Works night shifts
Mr. Dutta,60,Salaried,$30k-$50k,3,Single,Retirement Savings,"Owns a car, travels frequently"
Sunita,57,Retired,$100k+,5,Divorced,Health Coverage,"Health-conscious, gym member"
Mrs. Iyer,53,Retired,$15k-$30k,4,Married w/ Spouse,Retirement Savings,"Owns a car, travels frequently"
Mr. Dutta,58,Business Owner,$30k-$50k,4,Widowed,Child Education Fund,Works night shifts
Arjun,61,Business Owner,$75k-$100k,1,Married w/ Spouse,Tax Saving,Prefers homeopathic treatment
Rahul,42,Salaried,$100k+,4,Married w/ Spouse,Tax Saving,"Frequent flyer, international travel"
Arjun,32,Business Owner,$75k-$100k,2,Married w/ Kids,Retirement Savings,"Smoker, high stress job"
Riya,59,Retired,$75k-$100k,4,Married w/ Spouse,Health Coverage,Prefers homeopathic treatment
Arjun,29,Self-Employed,$30k-$50k,5,Single,Health Coverage,"Smoker, high stress job"
Sneha,59,Salaried,$15k-$30k,5,Single,Retirement Savings,"Pet owner, active lifestyle"
Amit,22,Self-Employed,$30k-$50k,1,Married w/ Kids,Child Education Fund,"Owns property, no liabilities"
Sneha,43,Salaried,$50k-$75k,1,Divorced,Child Education Fund,"Health-conscious, gym member"
Rahul,35,Salaried,$50k-$75k,3,Widowed,Retirement Savings,Lives in joint family
Mrs. Iyer,38,Business Owner,$30k-$50k,1,Divorced,Child Education Fund,"Frequent flyer, international travel"
Arjun,54,Retired,$15k-$30k,2,Widowed,Child Education Fund,"Owns a car, travels frequently"
Rahul,48,Salaried,$30k-$50k,5,Married w/ Spouse,Health Coverage,"Frequent flyer, international travel"
Priya,31,Salaried,$100k+,4,Married w/ Spouse,Child Education Fund,"Smoker, high stress job"
Priya,30,Salaried,$50k-$75k,4,Widowed,Child Education Fund,"Health-conscious, gym member"
Mrs. Iyer,50,Business Owner,$100k+,3,Single,Tax Saving,"Health-conscious, gym member"
Sunita,39,Salaried,$50k-$75k,5,Single,Health Coverage,"Smoker, high stress job"
Riya,51,Retired,$50k-$75k,3,Widowed,Child Education Fund,"Health-conscious, gym member"
Mrs. Iyer,54,Business Owner,$15k-$30k,1,Married w/ Kids,Wealth Creation,Lives in joint family
Arjun,62,Retired,$15k-$30k,5,Married w/ Spouse,Health Coverage,"Frequent flyer, international travel"
Sunita,50,Retired,$75k-$100k,2,Divorced,Child Education Fund,"Owns a car, travels frequently"
Amit,42,Self-Employed,$75k-$100k,1,Widowed,Wealth Creation,"Health-conscious, gym member"
Mr. Dutta,47,Business Owner,$100k+,4,Widowed,Tax Saving,"Owns property, no liabilities"
Ankit,32,Business Owner,$100k+,4,Married w/ Spouse,Wealth Creation,Lives in joint family
Mr. Dutta,47,Salaried,$100k+,5,Single,Health Coverage,Lives in joint family
Amit,48,Retired,$75k-$100k,2,Divorced,Child Education Fund,"Health-conscious, gym member"
Ankit,48,Self-Employed,$100k+,5,Married w/ Spouse,Tax Saving,"Owns a car, travels frequently"
Mrs. Iyer,27,Retired,$75k-$100k,4,Married w/ Spouse,Health Coverage,"Sedentary lifestyle, chronic illness"
Rahul,59,Retired,$15k-$30k,4,Single,Tax Saving,"Frequent flyer, international travel"
Sneha,61,Self-Employed,$30k-$50k,1,Married w/ Kids,Retirement Savings,Prefers homeopathic treatment
Arjun,23,Salaried,$15k-$30k,4,Married w/ Kids,Child Education Fund,Prefers homeopathic treatment
Mr. Dutta,25,Self-Employed,$50k-$75k,3,Married w/ Spouse,Wealth Creation,"Health-conscious, gym member"
Amit,47,Salaried,$75k-$100k,5,Married w/ Kids,Wealth Creation,Works night shifts
Sunita,41,Salaried,$100k+,5,Married w/ Kids,Child Education Fund,"Smoker, high stress job"
Rahul,33,Self-Employed,$50k-$75k,3,Single,Child Education Fund,"Pet owner, active lifestyle"
Sunita,64,Self-Employed,$100k+,2,Single,Health Coverage,Lives in joint family
Arjun,39,Salaried,$50k-$75k,3,Divorced,Health Coverage,"Frequent flyer, international travel"
Priya,38,Self-Employed,$15k-$30k,5,Divorced,Tax Saving,Works night shifts
Amit,49,Retired,$30k-$50k,1,Widowed,Health Coverage,"Owns a car, travels frequently"
Mr. Dutta,52,Business Owner,$30k-$50k,2,Widowed,Wealth Creation,Prefers homeopathic treatment
Arjun,64,Retired,$50k-$75k,1,Divorced,Wealth Creation,"Smoker, high stress job"
Mr. Dutta,57,Retired,$100k+,3,Single,Health Coverage,"Pet owner, active lifestyle"
Mrs. Iyer,27,Retired,$50k-$75k,3,Divorced,Health Coverage,"Smoker, high stress job"
Mr. Dutta,27,Business Owner,$30k-$50k,4,Married w/ Spouse,Tax Saving,"Health-conscious, gym member"
Mr. Dutta,52,Business Owner,$75k-$100k,2,Married w/ Kids,Wealth Creation,"Sedentary lifestyle, chronic illness"
Sunita,36,Salaried,$100k+,1,Widowed,Tax Saving,"Health-conscious, gym member"
Arjun,59,Self-Employed,$15k-$30k,3,Widowed,Wealth Creation,Works night shifts
Riya,54,Retired,$50k-$75k,4,Divorced,Wealth Creation,"Health-conscious, gym member"
Rahul,29,Salaried,$100k+,4,Widowed,Tax Saving,"Health-conscious, gym member"
Ankit,28,Self-Employed,$50k-$75k,1,Widowed,Child Education Fund,Works night shifts
Riya,22,Self-Employed,$50k-$75k,5,Married w/ Kids,Wealth Creation,"Sedentary lifestyle, chronic illness"
Sneha,58,Retired,$100k+,4,Single,Retirement Savings,"Health-conscious, gym member"
Amit,23,Self-Employed,$15k-$30k,2,Widowed,Wealth Creation,"Pet owner, active lifestyle"
Amit,48,Salaried,$100k+,4,Married w/ Spouse,Health Coverage,Works night shifts
Riya,35,Retired,$100k+,5,Divorced,Health Coverage,Works night shifts
Riya,60,Business Owner,$50k-$75k,3,Single,Wealth Creation,"Sedentary lifestyle, chronic illness"
